iteration,puzzle_id,method,best_move_score,move_score
49,12,Random,499,89
0,13,Random,385,235
1,13,Random,385,144
2,13,Random,385,134
3,13,Random,385,206
4,13,Random,385,206
5,13,Random,385,144
6,13,Random,385,105
7,13,Random,385,-713
8,13,Random,385,206
9,13,Random,385,146
10,13,Random,385,169
11,13,Random,385,146
12,13,Random,385,385
13,13,Random,385,79
14,13,Random,385,-232
15,13,Random,385,134
16,13,Random,385,303
17,13,Random,385,-80
18,13,Random,385,115
19,13,Random,385,147
20,13,Random,385,252
21,13,Random,385,115
22,13,Random,385,134
23,13,Random,385,112
24,13,Random,385,163
25,13,Random,385,290
26,13,Random,385,184
27,13,Random,385,151
28,13,Random,385,-232
29,13,Random,385,172
30,13,Random,385,172
31,13,Random,385,200
32,13,Random,385,164
33,13,Random,385,169
34,13,Random,385,-80
35,13,Random,385,172
36,13,Random,385,-713
37,13,Random,385,147
38,13,Random,385,151
39,13,Random,385,159
40,13,Random,385,146
41,13,Random,385,290
42,13,Random,385,151
43,13,Random,385,227
44,13,Random,385,397
45,13,Random,385,79
46,13,Random,385,252
47,13,Random,385,303
48,13,Random,385,172
49,13,Random,385,164
0,14,Random,466,138
1,14,Random,466,92
2,14,Random,466,49
3,14,Random,466,96
4,14,Random,466,96
5,14,Random,466,58
6,14,Random,466,7
7,14,Random,466,-754
8,14,Random,466,96
9,14,Random,466,65
10,14,Random,466,74
11,14,Random,466,65
12,14,Random,466,466
13,14,Random,466,-20
14,14,Random,466,-198
15,14,Random,466,49
16,14,Random,466,118
17,14,Random,466,-164
18,14,Random,466,68
19,14,Random,466,62
20,14,Random,466,96
21,14,Random,466,68
22,14,Random,466,49
23,14,Random,466,23
24,14,Random,466,70
25,14,Random,466,78
26,14,Random,466,102
27,14,Random,466,65
28,14,Random,466,-198
29,14,Random,466,82
30,14,Random,466,82
31,14,Random,466,33
32,14,Random,466,81
33,14,Random,466,74
34,14,Random,466,-164
35,14,Random,466,82
36,14,Random,466,-754
37,14,Random,466,62
38,14,Random,466,65
39,14,Random,466,59
40,14,Random,466,65
41,14,Random,466,78
42,14,Random,466,65
43,14,Random,466,140
44,14,Random,466,129
45,14,Random,466,-20
46,14,Random,466,96
47,14,Random,466,118
48,14,Random,466,82
49,14,Random,466,81
0,15,Random,354,138
1,15,Random,354,-110
2,15,Random,354,-113
3,15,Random,354,-94
4,15,Random,354,-94
5,15,Random,354,-131
6,15,Random,354,-25
7,15,Random,354,-800
8,15,Random,354,-94
9,15,Random,354,-143
10,15,Random,354,-74
11,15,Random,354,-143
12,15,Random,354,354
13,15,Random,354,-198
14,15,Random,354,-157
15,15,Random,354,-113
16,15,Random,354,-213
17,15,Random,354,-181
18,15,Random,354,-170
19,15,Random,354,-108
20,15,Random,354,-63
21,15,Random,354,-170
22,15,Random,354,-113
23,15,Random,354,-151
24,15,Random,354,-128
25,15,Random,354,-29
26,15,Random,354,-73
27,15,Random,354,-105
28,15,Random,354,-157
29,15,Random,354,-86
30,15,Random,354,-86
31,15,Random,354,-166
32,15,Random,354,-118
33,15,Random,354,-74
34,15,Random,354,-181
35,15,Random,354,-86
36,15,Random,354,-800
37,15,Random,354,-108
38,15,Random,354,-105
39,15,Random,354,-182
40,15,Random,354,-143
41,15,Random,354,-29
42,15,Random,354,-105
43,15,Random,354,125
44,15,Random,354,-53
45,15,Random,354,-198
46,15,Random,354,-63
47,15,Random,354,-213
48,15,Random,354,-86
49,15,Random,354,-118
0,16,Random,415,-22
1,16,Random,415,-51
2,16,Random,415,-22
3,16,Random,415,-5
4,16,Random,415,-5
5,16,Random,415,-42
6,16,Random,415,-42
7,16,Random,415,-140
8,16,Random,415,-5
9,16,Random,415,35
10,16,Random,415,-10
11,16,Random,415,35
12,16,Random,415,-7
13,16,Random,415,-127
14,16,Random,415,-186
15,16,Random,415,-145
16,16,Random,415,51
17,16,Random,415,-35
18,16,Random,415,-134
19,16,Random,415,29
20,16,Random,415,79
21,16,Random,415,-134
22,16,Random,415,-51
23,16,Random,415,113
24,16,Random,415,-61
25,16,Random,415,40
26,16,Random,415,79
27,16,Random,415,-28
28,16,Random,415,-186
29,16,Random,415,-86
30,16,Random,415,-86
31,16,Random,415,-79
32,16,Random,415,-75
33,16,Random,415,-10
34,16,Random,415,-35
35,16,Random,415,-86
36,16,Random,415,-140
37,16,Random,415,29
38,16,Random,415,-28
39,16,Random,415,-145
40,16,Random,415,35
41,16,Random,415,40
42,16,Random,415,-28
43,16,Random,415,56
44,16,Random,415,-22
45,16,Random,415,-127
46,16,Random,415,-75
47,16,Random,415,51
48,16,Random,415,-86
49,16,Random,415,-75
0,17,Random,455,133
1,17,Random,455,22
2,17,Random,455,36
3,17,Random,455,71
4,17,Random,455,71
5,17,Random,455,-21
6,17,Random,455,-1
7,17,Random,455,-747
8,17,Random,455,71
9,17,Random,455,34
10,17,Random,455,68
11,17,Random,455,34
12,17,Random,455,455
13,17,Random,455,-77
14,17,Random,455,-209
15,17,Random,455,36
16,17,Random,455,96
17,17,Random,455,-192
18,17,Random,455,102
19,17,Random,455,26
20,17,Random,455,40
21,17,Random,455,102
22,17,Random,455,36
23,17,Random,455,-59
24,17,Random,455,42
25,17,Random,455,18
26,17,Random,455,35
27,17,Random,455,14
28,17,Random,455,-209
29,17,Random,455,71
30,17,Random,455,71
31,17,Random,455,53
32,17,Random,455,26
33,17,Random,455,68
34,17,Random,455,-192
35,17,Random,455,71
36,17,Random,455,-747
37,17,Random,455,26
38,17,Random,455,14
39,17,Random,455,-9
40,17,Random,455,34
41,17,Random,455,18
42,17,Random,455,14
43,17,Random,455,122
44,17,Random,455,108
45,17,Random,455,-77
46,17,Random,455,40
47,17,Random,455,96
48,17,Random,455,71
49,17,Random,455,26
0,18,Random,478,38
1,18,Random,478,35
2,18,Random,478,38
3,18,Random,478,53
4,18,Random,478,53
5,18,Random,478,47
6,18,Random,478,24
7,18,Random,478,17
8,18,Random,478,53
9,18,Random,478,82
10,18,Random,478,-14
11,18,Random,478,82
12,18,Random,478,100
13,18,Random,478,-75
14,18,Random,478,-68
15,18,Random,478,-1
16,18,Random,478,94
17,18,Random,478,81
18,18,Random,478,54
19,18,Random,478,6
20,18,Random,478,9
21,18,Random,478,54
22,18,Random,478,97
23,18,Random,478,97
24,18,Random,478,44
25,18,Random,478,71
26,18,Random,478,11
27,18,Random,478,98
28,18,Random,478,-68
29,18,Random,478,70
30,18,Random,478,70
31,18,Random,478,60
32,18,Random,478,8
33,18,Random,478,-14
34,18,Random,478,81
35,18,Random,478,70
36,18,Random,478,17
37,18,Random,478,6
38,18,Random,478,98
39,18,Random,478,-1
40,18,Random,478,82
41,18,Random,478,71
42,18,Random,478,98
43,18,Random,478,111
44,18,Random,478,125
45,18,Random,478,-75
46,18,Random,478,9
47,18,Random,478,94
48,18,Random,478,70
49,18,Random,478,8
0,19,Random,435,115
1,19,Random,435,-115
2,19,Random,435,28
3,19,Random,435,106
4,19,Random,435,106
5,19,Random,435,61
6,19,Random,435,3
7,19,Random,435,-739
8,19,Random,435,106
9,19,Random,435,38
10,19,Random,435,42
11,19,Random,435,38
12,19,Random,435,435
13,19,Random,435,-38
14,19,Random,435,-233
15,19,Random,435,28
16,19,Random,435,44
17,19,Random,435,-136
18,19,Random,435,50
19,19,Random,435,57
20,19,Random,435,91
21,19,Random,435,50
22,19,Random,435,28
23,19,Random,435,-7
24,19,Random,435,53
25,19,Random,435,48
26,19,Random,435,57
27,19,Random,435,-156
28,19,Random,435,-233
29,19,Random,435,72
30,19,Random,435,72
31,19,Random,435,28
32,19,Random,435,38
33,19,Random,435,42
34,19,Random,435,-136
35,19,Random,435,72
36,19,Random,435,-739
37,19,Random,435,57
38,19,Random,435,-156
39,19,Random,435,12
40,19,Random,435,38
41,19,Random,435,48
42,19,Random,435,-156
43,19,Random,435,82
44,19,Random,435,59
45,19,Random,435,-38
46,19,Random,435,91
47,19,Random,435,44
48,19,Random,435,72
49,19,Random,435,38
0,20,Random,419,171
1,20,Random,419,99
2,20,Random,419,92
3,20,Random,419,104
4,20,Random,419,104
5,20,Random,419,16
6,20,Random,419,-120
7,20,Random,419,-696
8,20,Random,419,104
9,20,Random,419,94
10,20,Random,419,89
11,20,Random,419,94
12,20,Random,419,419
13,20,Random,419,-29
14,20,Random,419,-226
15,20,Random,419,92
16,20,Random,419,112
17,20,Random,419,-134
18,20,Random,419,86
19,20,Random,419,89
20,20,Random,419,74
21,20,Random,419,86
22,20,Random,419,92
23,20,Random,419,43
24,20,Random,419,86
25,20,Random,419,51
26,20,Random,419,96
27,20,Random,419,109
28,20,Random,419,-226
29,20,Random,419,138
30,20,Random,419,138
31,20,Random,419,55
32,20,Random,419,56
33,20,Random,419,89
34,20,Random,419,-134
35,20,Random,419,138
36,20,Random,419,-696
37,20,Random,419,89
38,20,Random,419,109
39,20,Random,419,-4
40,20,Random,419,94
41,20,Random,419,51
42,20,Random,419,109
43,20,Random,419,147
44,20,Random,419,151
45,20,Random,419,-29
46,20,Random,419,74
47,20,Random,419,112
48,20,Random,419,138
49,20,Random,419,56
0,21,Random,427,69
1,21,Random,427,23
2,21,Random,427,69
3,21,Random,427,72
4,21,Random,427,72
5,21,Random,427,39
6,21,Random,427,80
7,21,Random,427,-757
8,21,Random,427,72
9,21,Random,427,53
10,21,Random,427,-29
11,21,Random,427,53
12,21,Random,427,427
13,21,Random,427,-43
14,21,Random,427,-238
15,21,Random,427,6
16,21,Random,427,-17
17,21,Random,427,60
18,21,Random,427,28
19,21,Random,427,38
20,21,Random,427,-1
21,21,Random,427,28
22,21,Random,427,31
23,21,Random,427,31
24,21,Random,427,88
25,21,Random,427,31
26,21,Random,427,76
27,21,Random,427,55
28,21,Random,427,-238
29,21,Random,427,47
30,21,Random,427,47
31,21,Random,427,19
32,21,Random,427,33
33,21,Random,427,-29
34,21,Random,427,60
35,21,Random,427,47
36,21,Random,427,-757
37,21,Random,427,38
38,21,Random,427,55
39,21,Random,427,6
40,21,Random,427,53
41,21,Random,427,31
42,21,Random,427,55
43,21,Random,427,111
44,21,Random,427,29
45,21,Random,427,-43
46,21,Random,427,-1
47,21,Random,427,-17
48,21,Random,427,47
49,21,Random,427,33
0,22,Random,449,143
1,22,Random,449,92
2,22,Random,449,41
3,22,Random,449,103
4,22,Random,449,103
5,22,Random,449,73
6,22,Random,449,6
7,22,Random,449,-725
8,22,Random,449,103
9,22,Random,449,65
10,22,Random,449,46
11,22,Random,449,65
12,22,Random,449,449
13,22,Random,449,-27
14,22,Random,449,-230
15,22,Random,449,41
16,22,Random,449,136
17,22,Random,449,-125
18,22,Random,449,49
19,22,Random,449,66
20,22,Random,449,75
21,22,Random,449,49
22,22,Random,449,41
23,22,Random,449,6
24,22,Random,449,43
25,22,Random,449,64
26,22,Random,449,78
27,22,Random,449,60
28,22,Random,449,-230
29,22,Random,449,87
30,22,Random,449,87
31,22,Random,449,94
32,22,Random,449,63
33,22,Random,449,46
34,22,Random,449,-125
35,22,Random,449,87
36,22,Random,449,-725
37,22,Random,449,66
38,22,Random,449,60
39,22,Random,449,73
40,22,Random,449,65
41,22,Random,449,64
42,22,Random,449,60
43,22,Random,449,135
44,22,Random,449,149
45,22,Random,449,-27
46,22,Random,449,75
47,22,Random,449,136
48,22,Random,449,87
49,22,Random,449,63
0,23,Random,429,133
1,23,Random,429,-219
2,23,Random,429,68
3,23,Random,429,90
4,23,Random,429,90
5,23,Random,429,57
6,23,Random,429,26
7,23,Random,429,-742
8,23,Random,429,90
9,23,Random,429,45
10,23,Random,429,82
11,23,Random,429,45
12,23,Random,429,429
13,23,Random,429,-39
14,23,Random,429,-64
15,23,Random,429,68
16,23,Random,429,61
17,23,Random,429,-173
18,23,Random,429,51
19,23,Random,429,59
20,23,Random,429,95
21,23,Random,429,51
22,23,Random,429,68
23,23,Random,429,2
24,23,Random,429,56
25,23,Random,429,62
26,23,Random,429,73
27,23,Random,429,81
28,23,Random,429,-64
29,23,Random,429,102
30,23,Random,429,102
31,23,Random,429,82
32,23,Random,429,35
33,23,Random,429,82
34,23,Random,429,-173
35,23,Random,429,102
36,23,Random,429,-742
37,23,Random,429,59
38,23,Random,429,81
39,23,Random,429,38
40,23,Random,429,45
41,23,Random,429,62
42,23,Random,429,81
43,23,Random,429,133
44,23,Random,429,131
45,23,Random,429,-39
46,23,Random,429,95
47,23,Random,429,61
48,23,Random,429,102
49,23,Random,429,35
0,24,Random,371,29
1,24,Random,371,-26
2,24,Random,371,-230
3,24,Random,371,371
4,24,Random,371,371
5,24,Random,371,-216
6,24,Random,371,-259
7,24,Random,371,44
8,24,Random,371,76
9,24,Random,371,52
10,24,Random,371,33
11,24,Random,371,82
12,24,Random,371,55
13,24,Random,371,-216
14,24,Random,371,33
15,24,Random,371,43
16,24,Random,371,63
17,24,Random,371,57
18,24,Random,371,55
19,24,Random,371,33
20,24,Random,371,-732
21,24,Random,371,-740
22,24,Random,371,-26
23,24,Random,371,36
24,24,Random,371,29
25,24,Random,371,29
26,24,Random,371,-1
27,24,Random,371,55
28,24,Random,371,55
29,24,Random,371,56
30,24,Random,371,36
31,24,Random,371,-84
32,24,Random,371,56
33,24,Random,371,-740
34,24,Random,371,35
35,24,Random,371,87
36,24,Random,371,87
37,24,Random,371,-259
38,24,Random,371,57
39,24,Random,371,43
40,24,Random,371,52
41,24,Random,371,29
42,24,Random,371,55
43,24,Random,371,33
44,24,Random,371,57
45,24,Random,371,65
46,24,Random,371,56
47,24,Random,371,35
48,24,Random,371,44
49,24,Random,371,56
0,25,Random,397,126
1,25,Random,397,20
2,25,Random,397,17
3,25,Random,397,36
4,25,Random,397,36
5,25,Random,397,-46
6,25,Random,397,-42
7,25,Random,397,-735
8,25,Random,397,36
9,25,Random,397,29
10,25,Random,397,35
11,25,Random,397,29
12,25,Random,397,397
13,25,Random,397,-117
14,25,Random,397,-186
15,25,Random,397,17
16,25,Random,397,2
17,25,Random,397,-197
18,25,Random,397,1
19,25,Random,397,15
20,25,Random,397,-7
21,25,Random,397,1
22,25,Random,397,17
23,25,Random,397,38
24,25,Random,397,27
25,25,Random,397,-5
26,25,Random,397,48
27,25,Random,397,8
28,25,Random,397,-186
29,25,Random,397,25
30,25,Random,397,25
31,25,Random,397,-11
32,25,Random,397,-32
33,25,Random,397,35
34,25,Random,397,-197
35,25,Random,397,25
36,25,Random,397,-735
